id,title,release_date,runtime,genres,overview,vote_average,vote_count,cast,director,keywords,soup,sentiment_score
31393,The Unearthly,1957-06-28,73,"Science Fiction, Horror",A mad doctor uses patients at his isolated psychiatric institute as subjects in his attempts to create longevity by surgically installing an artificial gland in their skulls.,3.8,26,"John Carradine, Myron Healey, Allison Hayes",Boris Petroff,"sanitarium, mad doctor, synthetic gland, human experiment","Science Fiction Horror sanitarium mad doctor synthetic gland human experiment JohnCarradine,MyronHealey,AllisonHayes BorisPetroff",-0.6125
1266127,Ready or Not: Here I Come,2026-03-19,108,"Horror, Comedy","Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",7.565,46,"Samara Weaving, Kathryn Newton, Elijah Wood",Matt Bettinelli-Olpin,"escape, ritual, dark comedy, satanism, gore, pact with the devil, sequel, game, exploding body, satanic ritual, satanic cult, estranged sister, sister sister relationship, satanic, sisters, death game, horror","Horror Comedy escape ritual dark comedy satanism gore pact with the devil sequel game exploding body satanic ritual satanic cult estranged sister sister sister relationship satanic sisters death game horror SamaraWeaving,KathrynNewton,ElijahWood MattBettinelli-Olpin",0.03199999999999999
57214,Project X,2012-03-01,88,Comedy,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",6.9,6722,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown",Nima Nourizadeh,"high school, birthday, birthday party, house party, teen movie, high school student, fake documentary","Comedy high school birthday birthday party house party teen movie high school student fake documentary ThomasMann,OliverCooper,JonathanDanielBrown NimaNourizadeh",0.16
117078,Door III,1996-04-13,89,Horror,"Miyako is a frustrated insurance saleswoman stuck in a major dry spell. She tries every trick in the book, including aggressive flirting, which gets her plenty of gropers but no buyers. One day while venturing down a narrow stairwell, she injures her ankle and happens upon Mitsuru who works for some mysterious foreign company. Decked out in high goth style -- complete with long inky black hair and mascaraed eyes -- Mitsuru cuts quite an odd figure, yet his seductive though menacing ways make him difficult for Miyako to resist. Escorting her to his office to treat her ankle, Miyako notices that his all-female staff seem more glassy-eyed and soul-deadened than the average office workers. In fact, they seem almost like zombies. Later, weird things start happening. Mitsuko finds vomit on her doorstep, she seems to be tailed by a shadowy woman in a red dress, and most strikingly, she finds herself utterly powerless against Mitsuru's advances.",5.2,10,"Minako Tanaka, Akihiro Nakazawa, Rinko Mayumi",Kiyoshi Kurosawa,"parasite, insurance agent","Horror parasite insurance agent MinakoTanaka,AkihiroNakazawa,RinkoMayumi KiyoshiKurosawa",-0.11121980676328501
1167307,David,2025-12-14,109,"Animation, Family, Drama","From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",8.0,110,"Brandon Engman, Brian Stivale, Shahar Taboch",Phil Cunningham,"bible, musical, prophet, david vs. goliath, independent film, bible prophecy, biblical epic","Animation Family Drama bible musical prophet david vs. goliath independent film bible prophecy biblical epic BrandonEngman,BrianStivale,ShaharTaboch PhilCunningham",0.06666666666666667
114891,Pathinaaru,2011-01-28,0,Romance,"Shiva and Indu are city-based students,who love each other. However, their love is strongly opposed by the latter’s parents. They're given a handwritten book titled ""Pathinaaru"" (Sixteen) by Indhu's mother to read. The book depicts a real-life story about two village teenagers Gopi and Ilavarasi, and their romance as they step into adolescence. Facing opposition from her affluent family, the gutsy Ilavarasi takes some bold unconventional steps, which backfires on her. The story of unrequited love and betrayal leaves Indu in a dilemma and she prepares to go with her family’s desires. But Siva is not ready to give up Indu and sets out to do his own investigation to get to the bottom of what ultimately happened to Gopi and Ilavarasi.",4.5,2,"Shiva, Madhu Shalini, Abhishek Shankar",Saba Kailash,,"Romance  Shiva,MadhuShalini,AbhishekShankar SabaKailash",0.29924242424242425
969681,Spider-Man: Brand New Day,2026-07-29,145,"Science Fiction, Action, Adventure","Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",0.0,0,"Tom Holland, Zendaya, Sadie Sink",Destin Daniel Cretton,"superhero, based on comic, super power, marvel cinematic universe (mcu), masked superhero, spider-man","Science Fiction Action Adventure superhero based on comic super power marvel cinematic universe (mcu) masked superhero spider-man TomHolland,Zendaya,SadieSink DestinDanielCretton",0.18227272727272725
10528,Sherlock Holmes,2009-12-23,129,"Adventure, Crime, Mystery",Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,7.2,14645,"Robert Downey Jr., Jude Law, Rachel McAdams",Guy Ritchie,"london, england, based on novel or book, detective, scotland yard, coffin, pentagram, black magic, arrest, partner, murder, serial killer, steampunk, whodunit, buddy, clue, observation, 19th century, victorian era, mischievous, sherlock holmes, suspenseful, mystery, amused","Adventure Crime Mystery london england based on novel or book detective scotland yard coffin pentagram black magic arrest partner murder serial killer steampunk whodunit buddy clue observation 19th century victorian era mischievous sherlock holmes suspenseful mystery amused RobertDowneyJr.,JudeLaw,RachelMcAdams GuyRitchie",-0.08383838383838385
1272837,28 Years Later: The Bone Temple,2026-01-14,110,"Horror, Thriller, Science Fiction",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,7.196,883,"Ralph Fiennes, Jack O'Connell, Alfie Williams",Nia DaCosta,"england, post-apocalyptic future, satanism, satanist, sequel, satan, survival, zombie, death, crucifix, survival horror, satanic cult, zombie apocalypse, shocking, northumberland","Horror Thriller Science Fiction england post-apocalyptic future satanism satanist sequel satan survival zombie death crucifix survival horror satanic cult zombie apocalypse shocking northumberland RalphFiennes,JackO'Connell,AlfieWilliams NiaDaCosta",-0.4318181818181818
316351,El Anzuelo,1996-06-01,85,Comedy,"Filmmaker Ernesto Rimoch looks at the potent combination of love and ambition in this film about a couple who's so happy their daughter is marrying into a rich clan that they throw the best wedding ever, even if they can't afford it. When the father (Damián Alcázar) loses the money to pay for the musician, mayhem ensues. The film itself is made to look like a videotaping of the wedding, revealing who's responsible for the crime.",4.8,9,"Damián Alcázar, Rodolfo Arias, Carmen Beato",Ernesto Rimoch,,"Comedy  DamiánAlcázar,RodolfoArias,CarmenBeato ErnestoRimoch",0.43928571428571433
1306368,The Rip,2026-01-13,113,"Action, Thriller, Crime","Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",7.064,1422,"Matt Damon, Ben Affleck, Teyana Taylor",Joe Carnahan,"miami, florida, police, investigation, shootout, dirty cop, trust, attic, sting operation, cartel, hidden money, fbi agent, drug money, violence, straightforward","Action Thriller Crime miami florida police investigation shootout dirty cop trust attic sting operation cartel hidden money fbi agent drug money violence straightforward MattDamon,BenAffleck,TeyanaTaylor JoeCarnahan",0.0
502356,The Super Mario Bros. Movie,2023-04-05,93,"Family, Comedy, Adventure, Animation, Fantasy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.588,10360,"Chris Pratt, Anya Taylor-Joy, Charlie Day",Aaron Horvath,"gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, 3d animation, evil king","Family Comedy Adventure Animation Fantasy gorilla plumber villain anthropomorphism magic mushroom based on video game toad aftercreditsstinger duringcreditsstinger damsel in distress piano brother brother relationship 3d animation evil king ChrisPratt,AnyaTaylor-Joy,CharlieDay AaronHorvath",0.12457912457912457
254472,Stung,2015-07-03,87,"Horror, Comedy, Science Fiction",A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,5.3,209,"Matt O'Leary, Jessica Cook, Lance Henriksen",Benni Diez,"giant insect, creature, wasp, creature feature","Horror Comedy Science Fiction giant insect creature wasp creature feature MattO'Leary,JessicaCook,LanceHenriksen BenniDiez",0.0
2061,Pusher,1996-08-30,110,"Action, Crime, Drama",A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,6.997,845,"Kim Bodnia, Mads Mikkelsen, Laura Drasbæk",Nicolas Winding Refn,"drug dealer, copenhagen, denmark, police operation, drugs, nordic noir","Action Crime Drama drug dealer copenhagen denmark police operation drugs nordic noir KimBodnia,MadsMikkelsen,LauraDrasbæk NicolasWindingRefn",-0.4619047619047619
1485085,Homo Promo,,56,Documentary,"This spectacular showcase of vintage movie trailers offers a crash course in lesbian, gay, bi and transgender (LGBT) movie history and a colorful look at nearly every major mainstream queer-themed film produced between 1953 and 1977! Archivist Jenni Olson is one of the world’s leading experts on LGBT film history — curated from her private collection of rare original 35mm coming attractions trailers, Homo Promo has entertained audiences at LGBT film festivals around the world offering a campy cavalcade of coming attractions. Please note: The condition of these original 35mm archival prints varies — enjoy the wear and tear and rest assured that they have now all been donated to the Outfest/UCLA Legacy Project for LGBT Film Preservation where they are now being properly cared for.",0.0,0,"Bela Lugosi, Ingrid Thulin, Mae West",Jenni Olson,"lgbt, trailer compilation, queer cinema","Documentary lgbt trailer compilation queer cinema BelaLugosi,IngridThulin,MaeWest JenniOlson",0.2537326388888889
561362,Rust Creek,2019-01-04,108,"Thriller, Drama, Action, Crime","When an overachieving college senior makes a wrong turn, her road trip becomes a life-changing fight for survival in rural Kentucky.",6.3,348,"Hermione Corfield, Jay Paulson, Sean O'Bryan",Jen McGowan,"sheriff, kentucky, woods, survival, murder, meth lab, woman director, corrupt police, rural america, criminal enterprise","Thriller Drama Action Crime sheriff kentucky woods survival murder meth lab woman director corrupt police rural america criminal enterprise HermioneCorfield,JayPaulson,SeanO'Bryan JenMcGowan",-0.25
24428,The Avengers,2012-04-25,143,"Science Fiction, Action, Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.978,36726,"Robert Downey Jr., Chris Evans, Mark Ruffalo",Joss Whedon,"new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)","Science Fiction Action Adventure new york city superhero shield based on comic alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe (mcu) RobertDowneyJr.,ChrisEvans,MarkRuffalo JossWhedon",0.025
1539104,JUJUTSU KAISEN: Execution,2025-11-07,88,"Animation, Action, Fantasy","A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",5.8,86,"Junya Enoki, Megumi Ogata, Koji Yusa",Shota Goshozono,"compilation, based on manga, edited from tv series, shounen, anime, distressing","Animation Action Fantasy compilation based on manga edited from tv series shounen anime distressing JunyaEnoki,MegumiOgata,KojiYusa ShotaGoshozono",0.04571428571428571
254023,The Humbling,2014-12-31,112,"Drama, Comedy","Following a breakdown and suicide attempt, an aging actor becomes involved with a much younger woman but soon finds that it's difficult to keep pace with her.",5.1,154,"Al Pacino, Greta Gerwig, Dylan Baker",Barry Levinson,extramarital affair,"Drama Comedy extramarital affair AlPacino,GretaGerwig,DylanBaker BarryLevinson",-0.16666666666666666
498731,Palimpsests,2017-09-27,13,Documentary,"This film is from the project Unconformities, comprised of artworks made up from the material of surveyed land, extracted from coring construction sites in Paris, Athens and Beirut. These cores bare their ""unconformities""—temporal ruptures, natural disasters, geological movements—in full view, revealing a constant cycle of construction and deconstruction that is the defining feature of civilisations past and present, with each using the stones of the last. History appears not as layers but as actions, a kind of palimpsest mixing epochs and civilizations. These poetic recompositions question the dominant forms of narrating and representing history, but also address debates around the Anthropocene.",0.0,0,,Khalil Joreige,,Documentary   KhalilJoreige,0.13611111111111113
1426964,State of Fear,2026-02-10,103,"Action, Thriller, Crime, Drama","As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",5.4,59,"Naruna Costa, Camilla Damião, Seu Jorge",Pedro Morelli,romantic,"Action Thriller Crime Drama romantic NarunaCosta,CamillaDamião,SeuJorge PedroMorelli",0.6
425274,Now You See Me: Now You Don't,2025-11-12,113,"Thriller, Crime","The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.544,1272,"Jesse Eisenberg, Dominic Sessa, Ariana Greenblatt",Ruben Fleischer,"diamond, antwerp, sequel, heist, diamond heist, illusionist, team up, antwerp diamonds","Thriller Crime diamond antwerp sequel heist diamond heist illusionist team up antwerp diamonds JesseEisenberg,DominicSessa,ArianaGreenblatt RubenFleischer",0.17471590909090906
157336,Interstellar,2014-11-05,169,"Adventure, Drama, Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.468,39200,"Matthew McConaughey, Anne Hathaway, Michael Caine",Christopher Nolan,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, hibernation, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, time-manipulation, cryonics, father daughter relationship, 2060s, cornfield, bold","Adventure Drama Science Fiction rescue future spacecraft race against time artificial intelligence (a.i.) nasa time warp dystopia expedition space travel wormhole famine hibernation black hole quantum mechanics family relationships space robot astronaut scientist single father farmer space station space adventure time paradox time-manipulation cryonics father daughter relationship 2060s cornfield bold MatthewMcConaughey,AnneHathaway,MichaelCaine ChristopherNolan",0.04545454545454545
299536,Avengers: Infinity War,2018-04-25,149,"Adventure, Action, Science Fiction","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.234,31639,"Robert Downey Jr., Chris Evans, Chris Hemsworth",Joe Russo,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","Adventure Action Science Fiction sacrifice magic superhero based on comic space battlefield genocide magical object super power superhero team aftercreditsstinger marvel cinematic universe (mcu) cosmic RobertDowneyJr.,ChrisEvans,ChrisHemsworth JoeRusso",0.08766233766233766
1646787,Sundutan,2026-03-06,70,Drama,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?",4.0,1,"Allison Ross, Jade Esguerra, Mark Dionisio",Rodante Pajemna Jr.,sexy,"Drama sexy AllisonRoss,JadeEsguerra,MarkDionisio RodantePajemnaJr.",0.1125
14671,Summer School,1987-07-22,97,Comedy,"A high-school gym teacher has big plans for the summer, but is forced to cancel them to teach a ""bonehead"" English class for misfit goof-off students. Fortunately, his unconventional brand of teaching fun field trips begins to connect with them, and even inspires ardor in some.",6.4,272,"Mark Harmon, Kirstie Alley, Courtney Thorne-Smith",Carl Reiner,"high school, teacher, misfit, teen movie, school, summer, teaching, summer school","Comedy high school teacher misfit teen movie school summer teaching summer school MarkHarmon,KirstieAlley,CourtneyThorne-Smith CarlReiner",0.07999999999999999
1584215,The Internship,2026-01-13,91,Action,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",6.2,60,"Lizzy Greene, Megan Boone, Sky Katz",James Bamford,,"Action  LizzyGreene,MeganBoone,SkyKatz JamesBamford",-0.185
1003596,Avengers: Doomsday,2026-12-16,0,"Science Fiction, Action, Adventure","The Avengers, Wakandans, Fantastic Four, Thunderbolts, and X-Men all fight against Doctor Doom. Plot TBA.",0.0,0,"Chris Hemsworth, Vanessa Kirby, Anthony Mackie",Joe Russo,"superhero, based on comic, sequel, superhero team, marvel cinematic universe (mcu)","Science Fiction Action Adventure superhero based on comic sequel superhero team marvel cinematic universe (mcu) ChrisHemsworth,VanessaKirby,AnthonyMackie JoeRusso",0.4
